0 a 2 0 a a 2 a;a a 2 a 0 a 2 0;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a a a 0 a 2 2 0;a 2 2 0 a a a 0;Z
 -0.34626597;0.34626597;0.34626603; -0.34626603;0.34626604; -0.34626604; -0.34626607;0.34626607;540
 -0.34626597;0.34626597;0.34626603; -0.34626603;0.34626604; -0.34626604; -0.34626607;0.34626607;545
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626604; -0.34626604; -0.34626607;0.34626607;550
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626604; -0.34626604; -0.34626607;0.34626607;555
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626607;0.34626607;560
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626607;0.34626607;565
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626607;0.34626607;570
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626607;0.34626607;575
 -0.34626597;0.34626597;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626606;0.34626606;580
 -0.34626598;0.34626598;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626606;0.34626606;585
 -0.34626598;0.34626598;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626606;0.34626606;590
 -0.34626598;0.34626598;0.34626604; -0.34626604;0.34626603; -0.34626603; -0.34626606;0.34626606;595
 -0.34626598;0.34626598;0.34626605; -0.34626605;0.34626603; -0.34626603; -0.34626606;0.34626606;600
